file_name,link
https:__electronicintifada.net_blogs_tamara-nassar_israel-executes-8-year-old-broad-daylight.html,https://electronicintifada.net/blogs/tamara-nassar/israel-executes-8-year-old-broad-daylight
https:__electronicintifada.net_blogs_maureen-clare-murphy_gaza-truce-extended-another-day-amid-intense-pressure.html,https://electronicintifada.net/blogs/maureen-clare-murphy/gaza-truce-extended-another-day-amid-intense-pressure
https:__electronicintifada.net_blogs_nora-barrows-friedman_israeli-military-left-palestinian-infants-die.html,https://electronicintifada.net/blogs/nora-barrows-friedman/israeli-military-left-palestinian-infants-die
https:__electronicintifada.net_blogs_david-cronin_meet-european-parliaments-cheerleader-genocide.html,https://electronicintifada.net/blogs/david-cronin/meet-european-parliaments-cheerleader-genocide
https:__electronicintifada.net_blogs_maureen-clare-murphy_gaza-truce-extended-israel-threatens-even-bigger-attack.html,https://electronicintifada.net/blogs/maureen-clare-murphy/gaza-truce-extended-israel-threatens-even-bigger-attack
https:__electronicintifada.net_blogs_michael-f-brown_biden-punts-settler-abuses.html,https://electronicintifada.net/blogs/michael-f-brown/biden-punts-settler-abuses
https:__electronicintifada.net_blogs_nora-barrows-friedman_day-52-roundtable-joy-and-tears-palestine.html,https://electronicintifada.net/blogs/nora-barrows-friedman/day-52-roundtable-joy-and-tears-palestine
https:__electronicintifada.net_blogs_michael-f-brown_time-short-head-catastrophe-southern-gaza.html,https://electronicintifada.net/blogs/michael-f-brown/time-short-head-catastrophe-southern-gaza
https:__electronicintifada.net_blogs_maureen-clare-murphy_joy-and-pain-outset-four-day-pause-and-prisoner-exchange.html,https://electronicintifada.net/blogs/maureen-clare-murphy/joy-and-pain-outset-four-day-pause-and-prisoner-exchange
https:__electronicintifada.net_blogs_tamara-nassar_can-jordans-treaty-israel-survive-gaza-genocide.html,https://electronicintifada.net/blogs/tamara-nassar/can-jordans-treaty-israel-survive-gaza-genocide
https:__electronicintifada.net_blogs_tamara-nassar_can-jordans-treaty-israel-survive-gaza-genocide.html,https://electronicintifada.net/blogs/tamara-nassar/can-jordans-treaty-israel-survive-gaza-genocide
https:__electronicintifada.net_blogs_nora-barrows-friedman_day-48-roundtable-what-can-we-read-gaza-pause.html,https://electronicintifada.net/blogs/nora-barrows-friedman/day-48-roundtable-what-can-we-read-gaza-pause
https:__electronicintifada.net_blogs_michael-f-brown_cnn-anchor-claims-gaza-israel.html,https://electronicintifada.net/blogs/michael-f-brown/cnn-anchor-claims-gaza-israel
https:__electronicintifada.net_blogs_maureen-clare-murphy_white-house-denies-genocide-unfolding-gaza.html,https://electronicintifada.net/blogs/maureen-clare-murphy/white-house-denies-genocide-unfolding-gaza
https:__electronicintifada.net_blogs_jon-elmer_resistance-groups-produce-steady-stream-combat-videos.html,https://electronicintifada.net/blogs/jon-elmer/resistance-groups-produce-steady-stream-combat-videos
https:__electronicintifada.net_blogs_michael-f-brown_politicians-ignore-american-support-ceasefire.html,https://electronicintifada.net/blogs/michael-f-brown/politicians-ignore-american-support-ceasefire
https:__electronicintifada.net_blogs_maureen-clare-murphy_israeli-lawmakers-scream-family-members-captives.html,https://electronicintifada.net/blogs/maureen-clare-murphy/israeli-lawmakers-scream-family-members-captives
https:__electronicintifada.net_blogs_nora-barrows-friedman_day-45-roundtable-gaza-fights-life.html,https://electronicintifada.net/blogs/nora-barrows-friedman/day-45-roundtable-gaza-fights-life
https:__electronicintifada.net_blogs_david-cronin_why-ireland-so-eager-attract-israels-software-geeks.html,https://electronicintifada.net/blogs/david-cronin/why-ireland-so-eager-attract-israels-software-geeks
https:__electronicintifada.net_blogs_ali-abunimah_watch-israeli-children-sing-we-will-annihilate-everyone-gaza.html,https://electronicintifada.net/blogs/ali-abunimah/watch-israeli-children-sing-we-will-annihilate-everyone-gaza
https:__electronicintifada.net_blogs_ali-abunimah_israeli-helicopter-shot-civilians-7-october-rave-police-find.html,https://electronicintifada.net/blogs/ali-abunimah/israeli-helicopter-shot-civilians-7-october-rave-police-find
https:__electronicintifada.net_blogs_maureen-clare-murphy_israel-delivers-its-vows-bring-hell-gaza.html,https://electronicintifada.net/blogs/maureen-clare-murphy/israel-delivers-its-vows-bring-hell-gaza
https:__electronicintifada.net_blogs_ali-abunimah_israel-admits-burning-hundreds-people-7-october.html,https://electronicintifada.net/blogs/ali-abunimah/israel-admits-burning-hundreds-people-7-october
https:__electronicintifada.net_blogs_maureen-clare-murphy_israel-using-its-national-anthem-noise-torture-against-detainees.html,https://electronicintifada.net/blogs/maureen-clare-murphy/israel-using-its-national-anthem-noise-torture-against-detainees
https:__electronicintifada.net_blogs_nora-barrows-friedman_canadian-lawyers-warn-justin-trudeau-they-will-seek-genocide-prosecution.html,https://electronicintifada.net/blogs/nora-barrows-friedman/canadian-lawyers-warn-justin-trudeau-they-will-seek-genocide-prosecution
https:__electronicintifada.net_blogs_ali-abunimah_did-israel-build-bunker-under-al-shifa-hospital.html,https://electronicintifada.net/blogs/ali-abunimah/did-israel-build-bunker-under-al-shifa-hospital
https:__electronicintifada.net_blogs_omar-karmi_gaza-rattles-uks-labour.html,https://electronicintifada.net/blogs/omar-karmi/gaza-rattles-uks-labour
https:__electronicintifada.net_blogs_nora-barrows-friedman_day-40-roundtable-palestinians-sue-biden-genocide.html,https://electronicintifada.net/blogs/nora-barrows-friedman/day-40-roundtable-palestinians-sue-biden-genocide
https:__electronicintifada.net_blogs_maureen-clare-murphy_israel-fails-show-evidence-hamas-command-center-al-shifa-hospital.html,https://electronicintifada.net/blogs/maureen-clare-murphy/israel-fails-show-evidence-hamas-command-center-al-shifa-hospital
https:__electronicintifada.net_blogs_maureen-clare-murphy_palestinians-sue-biden-stop-gaza-genocide.html,https://electronicintifada.net/blogs/maureen-clare-murphy/palestinians-sue-biden-stop-gaza-genocide
https:__electronicintifada.net_blogs_david-cronin_comeback-david-cameron-israels-greatest-friend.html,https://electronicintifada.net/blogs/david-cronin/comeback-david-cameron-israels-greatest-friend
https:__electronicintifada.net_blogs_tamara-nassar_israel-kills-seven-west-bank-refugee-camp.html,https://electronicintifada.net/blogs/tamara-nassar/israel-kills-seven-west-bank-refugee-camp
https:__electronicintifada.net_blogs_jon-elmer_how-gaza-made-weapons-are-impacting-battle-against-israeli-armored-vehicles.html,https://electronicintifada.net/blogs/jon-elmer/how-gaza-made-weapons-are-impacting-battle-against-israeli-armored-vehicles
https:__electronicintifada.net_blogs_nora-barrows-friedman_day-38-roundtable-israels-war-hospitals.html,https://electronicintifada.net/blogs/nora-barrows-friedman/day-38-roundtable-israels-war-hospitals
https:__electronicintifada.net_blogs_ali-abunimah_need-comic-relief-watch-israels-pr-stunt-collapse.html,https://electronicintifada.net/blogs/ali-abunimah/need-comic-relief-watch-israels-pr-stunt-collapse
https:__electronicintifada.net_blogs_omar-karmi_gaza-claims-first-western-politician-uks-braverman-sacked.html,https://electronicintifada.net/blogs/omar-karmi/gaza-claims-first-western-politician-uks-braverman-sacked
https:__electronicintifada.net_blogs_ali-abunimah_we-are-now-rolling-out-gaza-nakba-israeli-minister-announces.html,https://electronicintifada.net/blogs/ali-abunimah/we-are-now-rolling-out-gaza-nakba-israeli-minister-announces
https:__electronicintifada.net_blogs_maureen-clare-murphy_babies-die-patients-shot-israel-besieges-hospitals-gazas-north.html,https://electronicintifada.net/blogs/maureen-clare-murphy/babies-die-patients-shot-israel-besieges-hospitals-gazas-north
https:__electronicintifada.net_blogs_tamara-nassar_israel-now-using-drones-regularly-west-bank.html,https://electronicintifada.net/blogs/tamara-nassar/israel-now-using-drones-regularly-west-bank
https:__electronicintifada.net_blogs_david-cronin_israels-one-shot-one-hit-weapons-go-display-paris.html,https://electronicintifada.net/blogs/david-cronin/israels-one-shot-one-hit-weapons-go-display-paris
https:__electronicintifada.net_blogs_ali-abunimah_shoot-everything-how-israeli-pilots-killed-their-own-civilians.html,https://electronicintifada.net/blogs/ali-abunimah/shoot-everything-how-israeli-pilots-killed-their-own-civilians
https:__electronicintifada.net_blogs_nora-barrows-friedman_israel-lobby-wants-brand-antiwar-students-terror-supporters.html,https://electronicintifada.net/blogs/nora-barrows-friedman/israel-lobby-wants-brand-antiwar-students-terror-supporters
https:__electronicintifada.net_blogs_ali-abunimah_israeli-army-chief-praises-pa-collaborators-occupied-west-bank.html,https://electronicintifada.net/blogs/ali-abunimah/israeli-army-chief-praises-pa-collaborators-occupied-west-bank
https:__electronicintifada.net_blogs_maureen-clare-murphy_why-un-refusing-call-israel-killer.html,https://electronicintifada.net/blogs/maureen-clare-murphy/why-un-refusing-call-israel-killer
https:__electronicintifada.net_blogs_michael-f-brown_palestinian-civilian-deaths-now-passing-reported-total-ukraine.html,https://electronicintifada.net/blogs/michael-f-brown/palestinian-civilian-deaths-now-passing-reported-total-ukraine
https:__electronicintifada.net_blogs_david-cronin_ireland-really-sticking-its-neck-out-gaza.html,https://electronicintifada.net/blogs/david-cronin/ireland-really-sticking-its-neck-out-gaza
https:__electronicintifada.net_blogs_tamara-nassar_all-eyes-gaza-israel-sets-west-bank-ablaze.html,https://electronicintifada.net/blogs/tamara-nassar/all-eyes-gaza-israel-sets-west-bank-ablaze
https:__electronicintifada.net_blogs_nora-barrows-friedman_activists-disrupt-weapons-cargo-ship-bound-israel.html,https://electronicintifada.net/blogs/nora-barrows-friedman/activists-disrupt-weapons-cargo-ship-bound-israel
https:__electronicintifada.net_blogs_nora-barrows-friedman_day-31-roundtable-resistance-fights-back.html,https://electronicintifada.net/blogs/nora-barrows-friedman/day-31-roundtable-resistance-fights-back
https:__electronicintifada.net_blogs_michael-f-brown_biden-will-lose-due-support-israeli-war-crimes.html,https://electronicintifada.net/blogs/michael-f-brown/biden-will-lose-due-support-israeli-war-crimes
https:__electronicintifada.net_blogs_ali-abunimah_israel-posts-fake-video-dog-chase-gaza-tunnel.html,https://electronicintifada.net/blogs/ali-abunimah/israel-posts-fake-video-dog-chase-gaza-tunnel
https:__electronicintifada.net_blogs_asa-winstanley_uk-palestine-solidarity-campaign-punishes-manchester-branch.html,https://electronicintifada.net/blogs/asa-winstanley/uk-palestine-solidarity-campaign-punishes-manchester-branch
https:__electronicintifada.net_blogs_nora-barrows-friedman_watch-day-27-roundup-israels-attacks-gaza.html,https://electronicintifada.net/blogs/nora-barrows-friedman/watch-day-27-roundup-israels-attacks-gaza
https:__electronicintifada.net_blogs_david-cronin_weapons-makers-treat-genocide-business-opportunity.html,https://electronicintifada.net/blogs/david-cronin/weapons-makers-treat-genocide-business-opportunity
https:__electronicintifada.net_blogs_nora-barrows-friedman_hunger-thirst-and-disease-rip-through-gaza.html,https://electronicintifada.net/blogs/nora-barrows-friedman/hunger-thirst-and-disease-rip-through-gaza
https:__electronicintifada.net_blogs_tamara-nassar_israel-told-us-it-modeling-gaza-attack-hiroshima-and-nagasaki.html,https://electronicintifada.net/blogs/tamara-nassar/israel-told-us-it-modeling-gaza-attack-hiroshima-and-nagasaki
https:__electronicintifada.net_blogs_asa-winstanley_watch-video-about-7-october-youtube-doesnt-want-you-see.html,https://electronicintifada.net/blogs/asa-winstanley/watch-video-about-7-october-youtube-doesnt-want-you-see
https:__electronicintifada.net_blogs_nora-barrows-friedman_watch-day-24-roundup-israels-attacks-gaza.html,https://electronicintifada.net/blogs/nora-barrows-friedman/watch-day-24-roundup-israels-attacks-gaza
https:__electronicintifada.net_blogs_tamara-nassar_settlers-gunning-second-nakba-west-bank.html,https://electronicintifada.net/blogs/tamara-nassar/settlers-gunning-second-nakba-west-bank
https:__electronicintifada.net_blogs_maureen-clare-murphy_gaza-death-toll-reaches-8000.html,https://electronicintifada.net/blogs/maureen-clare-murphy/gaza-death-toll-reaches-8000
https:__electronicintifada.net_blogs_maureen-clare-murphy_gaza-death-toll-reaches-8000.html,https://electronicintifada.net/blogs/maureen-clare-murphy/gaza-death-toll-reaches-8000
https:__electronicintifada.net_blogs_michael-f-brown_preemptive-stenography-cnn.html,https://electronicintifada.net/blogs/michael-f-brown/preemptive-stenography-cnn
https:__electronicintifada.net_blogs_maureen-clare-murphy_israel-inflicts-new-hell-gaza-heaviest-bombing-yet.html,https://electronicintifada.net/blogs/maureen-clare-murphy/israel-inflicts-new-hell-gaza-heaviest-bombing-yet
