file_name,link
https:__electronicintifada.net_content_stranded-school_41961.html,https://electronicintifada.net/content/stranded-school/41961
https:__electronicintifada.net_content_families-forced-flee-dream-going-home_41871.html,https://electronicintifada.net/content/families-forced-flee-dream-going-home/41871
https:__electronicintifada.net_content_will-i-be-killed-israel-or-cancer_41876.html,https://electronicintifada.net/content/will-i-be-killed-israel-or-cancer/41876
https:__electronicintifada.net_content_more-1-million-now-taking-shelter-un-facilities_41786.html,https://electronicintifada.net/content/more-1-million-now-taking-shelter-un-facilities/41786
https:__electronicintifada.net_content_when-israel-bombed-our-neighbors_41791.html,https://electronicintifada.net/content/when-israel-bombed-our-neighbors/41791
https:__electronicintifada.net_content_everything-gray-and-red-gaza_41776.html,https://electronicintifada.net/content/everything-gray-and-red-gaza/41776
https:__electronicintifada.net_content_living-through-hell-gazas-largest-hospital_41736.html,https://electronicintifada.net/content/living-through-hell-gazas-largest-hospital/41736
https:__electronicintifada.net_content_rescued-beneath-gazas-rubble_41731.html,https://electronicintifada.net/content/rescued-beneath-gazas-rubble/41731
https:__electronicintifada.net_content_israeli-child-burned-completely-israeli-tank-fire-kibbutz_41706.html,https://electronicintifada.net/content/israeli-child-burned-completely-israeli-tank-fire-kibbutz/41706
https:__electronicintifada.net_content_still-waiting-war-stop_41676.html,https://electronicintifada.net/content/still-waiting-war-stop/41676
https:__electronicintifada.net_content_my-kind-neighbor-was-tortured-while-working-israel_41461.html,https://electronicintifada.net/content/my-kind-neighbor-was-tortured-while-working-israel/41461
https:__electronicintifada.net_content_tears-flow-truce-begins_41661.html,https://electronicintifada.net/content/tears-flow-truce-begins/41661
https:__electronicintifada.net_content_voice-gaza_41596.html,https://electronicintifada.net/content/voice-gaza/41596
https:__electronicintifada.net_content_farewell-my-beloved-gaza_41571.html,https://electronicintifada.net/content/farewell-my-beloved-gaza/41571
https:__electronicintifada.net_content_will-israel-observe-truce_41576.html,https://electronicintifada.net/content/will-israel-observe-truce/41576
https:__electronicintifada.net_content_evidence-israel-killed-its-own-citizens-7-october_41156.html,https://electronicintifada.net/content/evidence-israel-killed-its-own-citizens-7-october/41156
https:__electronicintifada.net_content_i-learned-about-peace-and-equality-gaza_41471.html,https://electronicintifada.net/content/i-learned-about-peace-and-equality-gaza/41471
https:__electronicintifada.net_content_gazas-education-system-being-erased_41301.html,https://electronicintifada.net/content/gazas-education-system-being-erased/41301
https:__electronicintifada.net_content_israel-killed-twin-brothers-wedding-singer-and-my-childhood-friend_41241.html,https://electronicintifada.net/content/israel-killed-twin-brothers-wedding-singer-and-my-childhood-friend/41241
https:__electronicintifada.net_content_israels-claims-terrorist-activity-childrens-hospital-were-lies_41226.html,https://electronicintifada.net/content/israels-claims-terrorist-activity-childrens-hospital-were-lies/41226
https:__electronicintifada.net_content_my-home-has-been-attacked_40906.html,https://electronicintifada.net/content/my-home-has-been-attacked/40906
https:__electronicintifada.net_content_empty-gestures-wont-help-gazas-overcrowded-hospitals_40896.html,https://electronicintifada.net/content/empty-gestures-wont-help-gazas-overcrowded-hospitals/40896
https:__electronicintifada.net_content_today-my-prison-my-cellphone_40886.html,https://electronicintifada.net/content/today-my-prison-my-cellphone/40886
https:__electronicintifada.net_content_quest-bread-focuses-resilient-minds_40751.html,https://electronicintifada.net/content/quest-bread-focuses-resilient-minds/40751
https:__electronicintifada.net_content_hell-gaza-nightmare-outside_40746.html,https://electronicintifada.net/content/hell-gaza-nightmare-outside/40746
https:__electronicintifada.net_content_water-shortages-worsen-gazas-health-problems_40721.html,https://electronicintifada.net/content/water-shortages-worsen-gazas-health-problems/40721
https:__electronicintifada.net_content_gaza-has-been-forced-back-time_40711.html,https://electronicintifada.net/content/gaza-has-been-forced-back-time/40711
https:__electronicintifada.net_content_nearer-death_40706.html,https://electronicintifada.net/content/nearer-death/40706
https:__electronicintifada.net_content_echoes-palestines-past-are-louder-israels-bombs_40621.html,https://electronicintifada.net/content/echoes-palestines-past-are-louder-israels-bombs/40621
https:__electronicintifada.net_content_does-israel-want-exterminate-gazas-children_40616.html,https://electronicintifada.net/content/does-israel-want-exterminate-gazas-children/40616
https:__electronicintifada.net_content_prison-ghost-town_40536.html,https://electronicintifada.net/content/prison-ghost-town/40536
https:__electronicintifada.net_content_kind-aunt-killed-israel_40431.html,https://electronicintifada.net/content/kind-aunt-killed-israel/40431
https:__electronicintifada.net_content_snapshots-calamity_40351.html,https://electronicintifada.net/content/snapshots-calamity/40351
https:__electronicintifada.net_content_i-have-nothing-baby_40361.html,https://electronicintifada.net/content/i-have-nothing-baby/40361
https:__electronicintifada.net_content_my-cousin-gave-birth-then-israel-bombed-her-home_40356.html,https://electronicintifada.net/content/my-cousin-gave-birth-then-israel-bombed-her-home/40356
https:__electronicintifada.net_content_eight-activists-go-trial-disrupting-israels-weapons-trade_40346.html,https://electronicintifada.net/content/eight-activists-go-trial-disrupting-israels-weapons-trade/40346
https:__electronicintifada.net_content_barely-surviving_40281.html,https://electronicintifada.net/content/barely-surviving/40281
https:__electronicintifada.net_content_cursed-fate-gazas-children_40161.html,https://electronicintifada.net/content/cursed-fate-gazas-children/40161
https:__electronicintifada.net_content_dying-alone-or-surviving-alone-are-not-options_40166.html,https://electronicintifada.net/content/dying-alone-or-surviving-alone-are-not-options/40166
https:__electronicintifada.net_content_water-running-out-gaza_40081.html,https://electronicintifada.net/content/water-running-out-gaza/40081
https:__electronicintifada.net_content_most-terrifying-days-my-life_40056.html,https://electronicintifada.net/content/most-terrifying-days-my-life/40056
https:__electronicintifada.net_content_every-second-struggle_39956.html,https://electronicintifada.net/content/every-second-struggle/39956
https:__electronicintifada.net_content_i-fear-outbreak-disease-gaza_39941.html,https://electronicintifada.net/content/i-fear-outbreak-disease-gaza/39941
https:__electronicintifada.net_content_israel-has-destroyed-my-home-my-college-and-my-dreams_39861.html,https://electronicintifada.net/content/israel-has-destroyed-my-home-my-college-and-my-dreams/39861
https:__electronicintifada.net_content_love-letter-jabaliya-refugee-camp_39801.html,https://electronicintifada.net/content/love-letter-jabaliya-refugee-camp/39801
https:__electronicintifada.net_content_why-did-israel-kill-my-son_39726.html,https://electronicintifada.net/content/why-did-israel-kill-my-son/39726
https:__electronicintifada.net_content_israelis-filmed-abusing-bodies-palestinian-fighters_39731.html,https://electronicintifada.net/content/israelis-filmed-abusing-bodies-palestinian-fighters/39731
https:__electronicintifada.net_content_not-war-genocide_39591.html,https://electronicintifada.net/content/not-war-genocide/39591
https:__electronicintifada.net_content_i-want-hell-end-message-child-gaza_39576.html,https://electronicintifada.net/content/i-want-hell-end-message-child-gaza/39576
https:__electronicintifada.net_content_what-has-happened-my-family_39586.html,https://electronicintifada.net/content/what-has-happened-my-family/39586
https:__electronicintifada.net_content_sip-water_39571.html,https://electronicintifada.net/content/sip-water/39571
https:__electronicintifada.net_content_stories-despair-and-displacement-khan-younis-sanctuary_39521.html,https://electronicintifada.net/content/stories-despair-and-displacement-khan-younis-sanctuary/39521
https:__electronicintifada.net_content_palestine-must-thrive-not-just-survive_39391.html,https://electronicintifada.net/content/palestine-must-thrive-not-just-survive/39391
https:__electronicintifada.net_content_exploiting-gaza-war-settlers-ramp-west-bank-attacks_39366.html,https://electronicintifada.net/content/exploiting-gaza-war-settlers-ramp-west-bank-attacks/39366
https:__electronicintifada.net_content_shockwaves-gaza-felt-students-abroad_39361.html,https://electronicintifada.net/content/shockwaves-gaza-felt-students-abroad/39361
https:__electronicintifada.net_content_where-worlds-conscience_39356.html,https://electronicintifada.net/content/where-worlds-conscience/39356
https:__electronicintifada.net_content_israel-inflicting-holocaust-gaza_39261.html,https://electronicintifada.net/content/israel-inflicting-holocaust-gaza/39261
https:__electronicintifada.net_content_deep-burns-and-open-wounds_39236.html,https://electronicintifada.net/content/deep-burns-and-open-wounds/39236
https:__electronicintifada.net_content_us-sends-forces-jordan-amid-buildup-defense-israel_39221.html,https://electronicintifada.net/content/us-sends-forces-jordan-amid-buildup-defense-israel/39221
https:__electronicintifada.net_content_malevolent-light-israels-explosions_39201.html,https://electronicintifada.net/content/malevolent-light-israels-explosions/39201
https:__electronicintifada.net_content_diary-distress_39191.html,https://electronicintifada.net/content/diary-distress/39191
https:__electronicintifada.net_content_evacuated-place-no-safety_39171.html,https://electronicintifada.net/content/evacuated-place-no-safety/39171
https:__electronicintifada.net_content_wedding-deferred-love-unbroken_39116.html,https://electronicintifada.net/content/wedding-deferred-love-unbroken/39116
https:__electronicintifada.net_content_when-will-nightmare-end_39111.html,https://electronicintifada.net/content/when-will-nightmare-end/39111
https:__electronicintifada.net_content_my-aunt-and-cousin-have-been-killed-massacre_39106.html,https://electronicintifada.net/content/my-aunt-and-cousin-have-been-killed-massacre/39106
https:__electronicintifada.net_content_close-calls-death_39081.html,https://electronicintifada.net/content/close-calls-death/39081
https:__electronicintifada.net_content_israel-bombed-my-home-without-warning_39041.html,https://electronicintifada.net/content/israel-bombed-my-home-without-warning/39041
https:__electronicintifada.net_content_away-gaza-full-fear_39011.html,https://electronicintifada.net/content/away-gaza-full-fear/39011
https:__electronicintifada.net_content_now-we-just-survive_38996.html,https://electronicintifada.net/content/now-we-just-survive/38996
https:__electronicintifada.net_content_losing-everything-except-dignity_38926.html,https://electronicintifada.net/content/losing-everything-except-dignity/38926
https:__electronicintifada.net_content_israeli-forces-shot-their-own-civilians-kibbutz-survivor-says_38861.html,https://electronicintifada.net/content/israeli-forces-shot-their-own-civilians-kibbutz-survivor-says/38861
https:__electronicintifada.net_content_no-time-mourn_38851.html,https://electronicintifada.net/content/no-time-mourn/38851
https:__electronicintifada.net_content_genocide-against-silenced-people_38796.html,https://electronicintifada.net/content/genocide-against-silenced-people/38796
https:__electronicintifada.net_content_gazas-darkness_38791.html,https://electronicintifada.net/content/gazas-darkness/38791
https:__electronicintifada.net_content_dead-blink-eye_38781.html,https://electronicintifada.net/content/dead-blink-eye/38781
https:__electronicintifada.net_content_hamas-fighters-gaza-storm-israel-capture-and-kill-soldiers_38631.html,https://electronicintifada.net/content/hamas-fighters-gaza-storm-israel-capture-and-kill-soldiers/38631
https:__electronicintifada.net_content_palestine-pictures-september-2023_38596.html,https://electronicintifada.net/content/palestine-pictures-september-2023/38596
https:__electronicintifada.net_content_israel-blocks-families-burying-dead-prisoners_38616.html,https://electronicintifada.net/content/israel-blocks-families-burying-dead-prisoners/38616
https:__electronicintifada.net_content_refugees-pick-pieces-after-ein-al-hilweh-fighting_38576.html,https://electronicintifada.net/content/refugees-pick-pieces-after-ein-al-hilweh-fighting/38576
https:__electronicintifada.net_content_why-gaza-needs-talk-about-suicide_38561.html,https://electronicintifada.net/content/why-gaza-needs-talk-about-suicide/38561
https:__electronicintifada.net_content_education-empty-stomach_38521.html,https://electronicintifada.net/content/education-empty-stomach/38521
https:__electronicintifada.net_content_univ-illinois-conspired-against-palestinians-federal-complaint-alleges_38496.html,https://electronicintifada.net/content/univ-illinois-conspired-against-palestinians-federal-complaint-alleges/38496
https:__electronicintifada.net_content_gazas-surplus-nurses-works-free_38441.html,https://electronicintifada.net/content/gazas-surplus-nurses-works-free/38441
https:__electronicintifada.net_content_palestine-pictures-august-2023_38426.html,https://electronicintifada.net/content/palestine-pictures-august-2023/38426
https:__electronicintifada.net_content_infections-hamper-healing-gazas-wounded_38406.html,https://electronicintifada.net/content/infections-hamper-healing-gazas-wounded/38406
https:__electronicintifada.net_content_melted-birthday-cake-and-gazas-elusive-dreams_38381.html,https://electronicintifada.net/content/melted-birthday-cake-and-gazas-elusive-dreams/38381
https:__electronicintifada.net_content_revealed-israel-charity-funded-campaign-against-antisemitism_38351.html,https://electronicintifada.net/content/revealed-israel-charity-funded-campaign-against-antisemitism/38351
