file_name,link
https:__electronicintifada.net_content_why-are-colleges-civil-israel_38176.html,https://electronicintifada.net/content/why-are-colleges-civil-israel/38176
https:__electronicintifada.net_content_spyware-expose-lets-israel-hook_38161.html,https://electronicintifada.net/content/spyware-expose-lets-israel-hook/38161
https:__electronicintifada.net_content_sambac-searches-home-exile_38031.html,https://electronicintifada.net/content/sambac-searches-home-exile/38031
https:__electronicintifada.net_content_hostile-ideologies-hindutva-and-zionism-march-hand-hand_37851.html,https://electronicintifada.net/content/hostile-ideologies-hindutva-and-zionism-march-hand-hand/37851
https:__electronicintifada.net_content_how-zionism-helped-nazis-perpetrate-holocaust_37326.html,https://electronicintifada.net/content/how-zionism-helped-nazis-perpetrate-holocaust/37326
https:__electronicintifada.net_content_fight-boycott-not-over_37101.html,https://electronicintifada.net/content/fight-boycott-not-over/37101
https:__electronicintifada.net_content_british-newspaper-reporting-falls-dramatically-short-palestine_35701.html,https://electronicintifada.net/content/british-newspaper-reporting-falls-dramatically-short-palestine/35701
https:__electronicintifada.net_content_murder-mystery-set-gaza-bookish-bent_35711.html,https://electronicintifada.net/content/murder-mystery-set-gaza-bookish-bent/35711
https:__electronicintifada.net_content_camp-despair-life-rooted-love_34786.html,https://electronicintifada.net/content/camp-despair-life-rooted-love/34786
https:__electronicintifada.net_content_what-about-hamas_34561.html,https://electronicintifada.net/content/what-about-hamas/34561
https:__electronicintifada.net_content_love-tormented-betrayal_34531.html,https://electronicintifada.net/content/love-tormented-betrayal/34531
https:__electronicintifada.net_content_bereaved-and-abandoned_33696.html,https://electronicintifada.net/content/bereaved-and-abandoned/33696
https:__electronicintifada.net_content_slaying-some-myths-swallowing-others_33481.html,https://electronicintifada.net/content/slaying-some-myths-swallowing-others/33481
https:__electronicintifada.net_content_bantustan-mayor_32346.html,https://electronicintifada.net/content/bantustan-mayor/32346
https:__electronicintifada.net_content_envisioning-post-colonial-palestine_32596.html,https://electronicintifada.net/content/envisioning-post-colonial-palestine/32596
https:__electronicintifada.net_content_much-hope-little-gain_32041.html,https://electronicintifada.net/content/much-hope-little-gain/32041
https:__electronicintifada.net_content_brute-force-and-impudence_31756.html,https://electronicintifada.net/content/brute-force-and-impudence/31756
https:__electronicintifada.net_content_anti-zionism-versus-anti-homophobia_31306.html,https://electronicintifada.net/content/anti-zionism-versus-anti-homophobia/31306
https:__electronicintifada.net_content_darker-shadows-shared-supremacy_31276.html,https://electronicintifada.net/content/darker-shadows-shared-supremacy/31276
https:__electronicintifada.net_content_view-palestine-bicycle-seat_30971.html,https://electronicintifada.net/content/view-palestine-bicycle-seat/30971
https:__electronicintifada.net_content_repressing-palestinians-israels-dna_30851.html,https://electronicintifada.net/content/repressing-palestinians-israels-dna/30851
https:__electronicintifada.net_content_how-universities-serve-outposts-israeli-colonial-control_30846.html,https://electronicintifada.net/content/how-universities-serve-outposts-israeli-colonial-control/30846
https:__electronicintifada.net_content_what-if-palestinians-just-disappeared_30646.html,https://electronicintifada.net/content/what-if-palestinians-just-disappeared/30646
https:__electronicintifada.net_content_century-complicity_30511.html,https://electronicintifada.net/content/century-complicity/30511
https:__electronicintifada.net_content_when-duty-destroys-morality_30031.html,https://electronicintifada.net/content/when-duty-destroys-morality/30031
https:__electronicintifada.net_content_divided-we-fall-how-us-left-cannot-agree-palestine_29896.html,https://electronicintifada.net/content/divided-we-fall-how-us-left-cannot-agree-palestine/29896
https:__electronicintifada.net_content_savoring-small-morsels-beauty_29816.html,https://electronicintifada.net/content/savoring-small-morsels-beauty/29816
https:__electronicintifada.net_content_everywhere-displaced-everywhere-watching_29656.html,https://electronicintifada.net/content/everywhere-displaced-everywhere-watching/29656
https:__electronicintifada.net_content_two-state-obfuscation_29581.html,https://electronicintifada.net/content/two-state-obfuscation/29581
https:__electronicintifada.net_content_britains-poisoned-legacy-palestine_29281.html,https://electronicintifada.net/content/britains-poisoned-legacy-palestine/29281
https:__electronicintifada.net_content_palestines-sci-fi-future-todays-repressive-reality_29256.html,https://electronicintifada.net/content/palestines-sci-fi-future-todays-repressive-reality/29256
https:__electronicintifada.net_content_darkness-and-desire_28856.html,https://electronicintifada.net/content/darkness-and-desire/28856
https:__electronicintifada.net_content_bad-news-jeremy-corbyn_28771.html,https://electronicintifada.net/content/bad-news-jeremy-corbyn/28771
https:__electronicintifada.net_content_law-unto-itself_28696.html,https://electronicintifada.net/content/law-unto-itself/28696
https:__electronicintifada.net_content_religiously-inspired-colonial-nationalism-feeds-israels-wars_28071.html,https://electronicintifada.net/content/religiously-inspired-colonial-nationalism-feeds-israels-wars/28071
https:__electronicintifada.net_content_how-us-foreign-policy-spawned-terror-and-trump_27371.html,https://electronicintifada.net/content/how-us-foreign-policy-spawned-terror-and-trump/27371
https:__electronicintifada.net_content_racism-rails_26766.html,https://electronicintifada.net/content/racism-rails/26766
https:__electronicintifada.net_content_invigorating-visit-palestine-underground_26481.html,https://electronicintifada.net/content/invigorating-visit-palestine-underground/26481
https:__electronicintifada.net_content_how-black-power-spread-support-palestine_26436.html,https://electronicintifada.net/content/how-black-power-spread-support-palestine/26436
https:__electronicintifada.net_content_outsourcing-occupation_26111.html,https://electronicintifada.net/content/outsourcing-occupation/26111
https:__electronicintifada.net_content_stuck-between-duty-and-decay_25661.html,https://electronicintifada.net/content/stuck-between-duty-and-decay/25661
https:__electronicintifada.net_content_are-democrats-deserting-israel_25216.html,https://electronicintifada.net/content/are-democrats-deserting-israel/25216
https:__electronicintifada.net_content_painting-false-picture_25071.html,https://electronicintifada.net/content/painting-false-picture/25071
https:__electronicintifada.net_content_ending-colonialism-palestine_24756.html,https://electronicintifada.net/content/ending-colonialism-palestine/24756
https:__electronicintifada.net_content_israels-secret-assassinations_24651.html,https://electronicintifada.net/content/israels-secret-assassinations/24651
https:__electronicintifada.net_content_palestinian-writers-revealed_24191.html,https://electronicintifada.net/content/palestinian-writers-revealed/24191
https:__electronicintifada.net_content_womans-rebellion_23371.html,https://electronicintifada.net/content/womans-rebellion/23371
https:__electronicintifada.net_content_can-minority-rule-majority-perpetuity_23241.html,https://electronicintifada.net/content/can-minority-rule-majority-perpetuity/23241
https:__electronicintifada.net_content_putting-balfour-trial_23076.html,https://electronicintifada.net/content/putting-balfour-trial/23076
https:__electronicintifada.net_content_how-israels-permit-regime-costs-palestinians_22816.html,https://electronicintifada.net/content/how-israels-permit-regime-costs-palestinians/22816
https:__electronicintifada.net_content_critical-thinking-cultural-boycott_22571.html,https://electronicintifada.net/content/critical-thinking-cultural-boycott/22571
https:__electronicintifada.net_content_how-israel-wins-media-war_22066.html,https://electronicintifada.net/content/how-israel-wins-media-war/22066
https:__electronicintifada.net_content_cold-violence-palestine_21891.html,https://electronicintifada.net/content/cold-violence-palestine/21891
https:__electronicintifada.net_content_visualizing-feeling_21841.html,https://electronicintifada.net/content/visualizing-feeling/21841
https:__electronicintifada.net_content_poetry-steeped-sarcasm-and-politics_21671.html,https://electronicintifada.net/content/poetry-steeped-sarcasm-and-politics/21671
https:__electronicintifada.net_content_why-occupation-no-accident_21741.html,https://electronicintifada.net/content/why-occupation-no-accident/21741
https:__electronicintifada.net_content_arab-american-radicals-who-paved-way-bds_21586.html,https://electronicintifada.net/content/arab-american-radicals-who-paved-way-bds/21586
https:__electronicintifada.net_content_finding-voice-under-occupation_21516.html,https://electronicintifada.net/content/finding-voice-under-occupation/21516
https:__electronicintifada.net_content_satire-grotesque-hypocrisy-it-skewers_21466.html,https://electronicintifada.net/content/satire-grotesque-hypocrisy-it-skewers/21466
https:__electronicintifada.net_content_half-century-pointless-peace-talks_21446.html,https://electronicintifada.net/content/half-century-pointless-peace-talks/21446
https:__electronicintifada.net_content_palestinian-art-after-darwish_21316.html,https://electronicintifada.net/content/palestinian-art-after-darwish/21316
https:__electronicintifada.net_content_keeping-tradition-alive-diaspora_21211.html,https://electronicintifada.net/content/keeping-tradition-alive-diaspora/21211
https:__electronicintifada.net_content_nostalgia-political-edge_21191.html,https://electronicintifada.net/content/nostalgia-political-edge/21191
https:__electronicintifada.net_content_israels-other-demographic-threat_21106.html,https://electronicintifada.net/content/israels-other-demographic-threat/21106
https:__electronicintifada.net_content_palestines-overshadowed-poet-brought-life-stage_21091.html,https://electronicintifada.net/content/palestines-overshadowed-poet-brought-life-stage/21091
https:__electronicintifada.net_content_how-imperial-britain-promoted-religion-stymie-palestinian-nationalism_20971.html,https://electronicintifada.net/content/how-imperial-britain-promoted-religion-stymie-palestinian-nationalism/20971
https:__electronicintifada.net_content_defiant-remembrance-kafr-qasems-dead_20786.html,https://electronicintifada.net/content/defiant-remembrance-kafr-qasems-dead/20786
https:__electronicintifada.net_content_time-capsule-harrowing-past_20746.html,https://electronicintifada.net/content/time-capsule-harrowing-past/20746
https:__electronicintifada.net_content_memories-nakba-those-who-survived-it_20471.html,https://electronicintifada.net/content/memories-nakba-those-who-survived-it/20471
https:__electronicintifada.net_content_under-occupation-exile_20321.html,https://electronicintifada.net/content/under-occupation-exile/20321
https:__electronicintifada.net_content_dismantling-distortion-about-israel_20026.html,https://electronicintifada.net/content/dismantling-distortion-about-israel/20026
https:__electronicintifada.net_content_israeli-bombs-view-gaza-ambulance-crew_19981.html,https://electronicintifada.net/content/israeli-bombs-view-gaza-ambulance-crew/19981
https:__electronicintifada.net_content_how-zionist-terrorism-determined-palestines-fate_19871.html,https://electronicintifada.net/content/how-zionist-terrorism-determined-palestines-fate/19871
https:__electronicintifada.net_content_young-palestinian-artists-handle-fragile-memories-care_19511.html,https://electronicintifada.net/content/young-palestinian-artists-handle-fragile-memories-care/19511
https:__electronicintifada.net_content_untold-lives-dragomans_19456.html,https://electronicintifada.net/content/untold-lives-dragomans/19456
https:__electronicintifada.net_content_music-narrates-plight-generation_19281.html,https://electronicintifada.net/content/music-narrates-plight-generation/19281
https:__electronicintifada.net_content_satisfying-celebration-jerusalem_19151.html,https://electronicintifada.net/content/satisfying-celebration-jerusalem/19151
https:__electronicintifada.net_content_robust-world-great-druze-poet_19056.html,https://electronicintifada.net/content/robust-world-great-druze-poet/19056
https:__electronicintifada.net_content_palestines-scallywag-leader-incredible-cunning_18901.html,https://electronicintifada.net/content/palestines-scallywag-leader-incredible-cunning/18901
https:__electronicintifada.net_content_what-makes-israeli-apartheid-special_18336.html,https://electronicintifada.net/content/what-makes-israeli-apartheid-special/18336
https:__electronicintifada.net_content_stifling-heat-jordan-valley_18131.html,https://electronicintifada.net/content/stifling-heat-jordan-valley/18131
