file_name,link
https:__www.palestinechronicle.com_israel-claims-hamas-spies-in-israel-facilitated-oct-7-operation-but-is-tel-aviv-telling-the-truth_.html,https://www.palestinechronicle.com/israel-claims-hamas-spies-in-israel-facilitated-oct-7-operation-but-is-tel-aviv-telling-the-truth/
https:__www.palestinechronicle.com_predicting-pestilence-who-says-disease-could-be-deadlier-than-airstrikes-in-gaza_.html,https://www.palestinechronicle.com/predicting-pestilence-who-says-disease-could-be-deadlier-than-airstrikes-in-gaza/
https:__www.palestinechronicle.com_abandonbiden-why-are-muslim-americans-refusing-to-vote-democrat_.html,https://www.palestinechronicle.com/abandonbiden-why-are-muslim-americans-refusing-to-vote-democrat/
https:__www.palestinechronicle.com_why-gaza-child-alma-refused-to-be-rescued-following-israeli-attack-on-her-home-video_.html,https://www.palestinechronicle.com/why-gaza-child-alma-refused-to-be-rescued-following-israeli-attack-on-her-home-video/
https:__www.palestinechronicle.com_questioning-the-stories-we-are-told-on-solidarity-and-propaganda_.html,https://www.palestinechronicle.com/questioning-the-stories-we-are-told-on-solidarity-and-propaganda/
https:__www.palestinechronicle.com_israel-is-retreating-in-northern-gaza-trying-to-advance-in-south-qassam_.html,https://www.palestinechronicle.com/israel-is-retreating-in-northern-gaza-trying-to-advance-in-south-qassam/
https:__www.palestinechronicle.com_who-is-lynn-hastings-the-un-official-forced-out-by-israel_.html,https://www.palestinechronicle.com/who-is-lynn-hastings-the-un-official-forced-out-by-israel/
https:__www.palestinechronicle.com_palestine-unifier-of-the-islamic-world_.html,https://www.palestinechronicle.com/palestine-unifier-of-the-islamic-world/
https:__www.palestinechronicle.com_only-survivor-in-her-family-palestine-chronicle-visits-wounded-gaza-child-sham_.html,https://www.palestinechronicle.com/only-survivor-in-her-family-palestine-chronicle-visits-wounded-gaza-child-sham/
https:__www.palestinechronicle.com_this-is-how-israel-can-release-its-prisoners-saleh-al-arouri_.html,https://www.palestinechronicle.com/this-is-how-israel-can-release-its-prisoners-saleh-al-arouri/
https:__www.palestinechronicle.com_meet-the-gospel-how-artificial-intelligence-is-used-to-kill-palestinians_.html,https://www.palestinechronicle.com/meet-the-gospel-how-artificial-intelligence-is-used-to-kill-palestinians/
https:__www.palestinechronicle.com_the-untold-history-of-gaza-on-conquerors-resurgence-and-rebirth_.html,https://www.palestinechronicle.com/the-untold-history-of-gaza-on-conquerors-resurgence-and-rebirth/
https:__www.palestinechronicle.com_they-stepped-on-my-head-broke-my-fingers-palestinian-child-recalls-israeli-prison-experience_.html,https://www.palestinechronicle.com/they-stepped-on-my-head-broke-my-fingers-palestinian-child-recalls-israeli-prison-experience/
https:__www.palestinechronicle.com_aid-to-gaza-through-the-rafah-crossing-a-timeline_.html,https://www.palestinechronicle.com/aid-to-gaza-through-the-rafah-crossing-a-timeline/
https:__www.palestinechronicle.com_a-daughter-of-nabi-saleh-who-is-palestinian-icon-ahed-tamimi_.html,https://www.palestinechronicle.com/a-daughter-of-nabi-saleh-who-is-palestinian-icon-ahed-tamimi/
https:__www.palestinechronicle.com_saluting-hamas-or-the-boring-routine-of-being-labeled-antisemitic-ronnie-kasrils_.html,https://www.palestinechronicle.com/saluting-hamas-or-the-boring-routine-of-being-labeled-antisemitic-ronnie-kasrils/
https:__www.palestinechronicle.com_rain-and-genocide-gazans-fight-hunger-the-elements-photos_.html,https://www.palestinechronicle.com/rain-and-genocide-gazans-fight-hunger-the-elements-photos/
https:__www.palestinechronicle.com_al-qassams-latest-video-is-best-production-yet-video_.html,https://www.palestinechronicle.com/al-qassams-latest-video-is-best-production-yet-video/
https:__www.palestinechronicle.com_farasheeh-long-lines-and-lots-of-walking-palestine-chronicle-camera-in-gaza_.html,https://www.palestinechronicle.com/farasheeh-long-lines-and-lots-of-walking-palestine-chronicle-camera-in-gaza/
https:__www.palestinechronicle.com_beautiful-boy-ahmed-is-in-israeli-prison-over-social-media-post_.html,https://www.palestinechronicle.com/beautiful-boy-ahmed-is-in-israeli-prison-over-social-media-post/
https:__www.palestinechronicle.com_a-terrorist-organization-this-is-what-hamas-charters-say_.html,https://www.palestinechronicle.com/a-terrorist-organization-this-is-what-hamas-charters-say/
https:__www.palestinechronicle.com_i-see-you-in-my-heart-the-story-of-palestinian-prisoner-faris-baroud_.html,https://www.palestinechronicle.com/i-see-you-in-my-heart-the-story-of-palestinian-prisoner-faris-baroud/
https:__www.palestinechronicle.com_political-conflict-cannot-be-solved-with-military-tools-hamas-official_.html,https://www.palestinechronicle.com/political-conflict-cannot-be-solved-with-military-tools-hamas-official/
https:__www.palestinechronicle.com_we-are-the-murabitat-who-is-hanadi-halawani-just-released-from-israeli-prison_.html,https://www.palestinechronicle.com/we-are-the-murabitat-who-is-hanadi-halawani-just-released-from-israeli-prison/
https:__www.palestinechronicle.com_liberation-begins-now-time-now-for-palestinians-to-protect-their-collective-sumud_.html,https://www.palestinechronicle.com/liberation-begins-now-time-now-for-palestinians-to-protect-their-collective-sumud/
https:__www.palestinechronicle.com_wwii-again-this-is-how-netanyahu-plans-to-de-radicalize-gaza_.html,https://www.palestinechronicle.com/wwii-again-this-is-how-netanyahu-plans-to-de-radicalize-gaza/
https:__www.palestinechronicle.com_wedding-in-un-shelter-palestinian-couple-find-joy-among-gaza-ruins_.html,https://www.palestinechronicle.com/wedding-in-un-shelter-palestinian-couple-find-joy-among-gaza-ruins/
https:__www.palestinechronicle.com_step-closer-to-victory-in-gaza-burns-expansive-deal-could-only-mean-one-thing-analysis_.html,https://www.palestinechronicle.com/step-closer-to-victory-in-gaza-burns-expansive-deal-could-only-mean-one-thing-analysis/
https:__www.palestinechronicle.com_scenes-in-gaza-are-dystopian-dr-ghassan-abu-sittah_.html,https://www.palestinechronicle.com/scenes-in-gaza-are-dystopian-dr-ghassan-abu-sittah/
https:__www.palestinechronicle.com_two-palestinian-artists-condemn-israels-destruction-of-gazas-iconic-theater_.html,https://www.palestinechronicle.com/two-palestinian-artists-condemn-israels-destruction-of-gazas-iconic-theater/
https:__www.palestinechronicle.com_israel-claims-hamas-spies-in-israel-facilitated-oct-7-operation-but-is-tel-aviv-telling-the-truth_.html,https://www.palestinechronicle.com/israel-claims-hamas-spies-in-israel-facilitated-oct-7-operation-but-is-tel-aviv-telling-the-truth/
