file_name,link
https:__electronicintifada.net_content_why-were-wests-doctors-outraged-about-ukraine-silent-about-gaza_41956.html,https://electronicintifada.net/content/why-were-wests-doctors-outraged-about-ukraine-silent-about-gaza/41956
https:__electronicintifada.net_content_we-are-afraid-being-erased_41866.html,https://electronicintifada.net/content/we-are-afraid-being-erased/41866
https:__electronicintifada.net_content_war-has-left-me-without-future_41781.html,https://electronicintifada.net/content/war-has-left-me-without-future/41781
https:__electronicintifada.net_content_how-will-i-live-now-israel-has-killed-my-children_41481.html,https://electronicintifada.net/content/how-will-i-live-now-israel-has-killed-my-children/41481
https:__electronicintifada.net_content_stand-taller-shout-louder-and-resist-campaign-silence-us_41586.html,https://electronicintifada.net/content/stand-taller-shout-louder-and-resist-campaign-silence-us/41586
https:__electronicintifada.net_content_whats-next_41591.html,https://electronicintifada.net/content/whats-next/41591
https:__electronicintifada.net_content_palestines-resistance-has-already-won-gaza_41456.html,https://electronicintifada.net/content/palestines-resistance-has-already-won-gaza/41456
https:__electronicintifada.net_content_winter-rains-bring-misery-gazas-displaced_41401.html,https://electronicintifada.net/content/winter-rains-bring-misery-gazas-displaced/41401
https:__electronicintifada.net_content_no-water-no-food-no-privacy_41391.html,https://electronicintifada.net/content/no-water-no-food-no-privacy/41391
https:__electronicintifada.net_content_why-did-london-school-economics-censor-article-israels-lobby_41296.html,https://electronicintifada.net/content/why-did-london-school-economics-censor-article-israels-lobby/41296
https:__electronicintifada.net_content_terror-tower-8_40926.html,https://electronicintifada.net/content/terror-tower-8/40926
https:__electronicintifada.net_content_israel-wants-reset-clock-1967_40741.html,https://electronicintifada.net/content/israel-wants-reset-clock-1967/40741
https:__electronicintifada.net_content_regional-bloodbath-beckons_40891.html,https://electronicintifada.net/content/regional-bloodbath-beckons/40891
https:__electronicintifada.net_content_what-will-i-come-home_40776.html,https://electronicintifada.net/content/what-will-i-come-home/40776
https:__electronicintifada.net_content_cold-and-frightening-night-gaza-hospital_40786.html,https://electronicintifada.net/content/cold-and-frightening-night-gaza-hospital/40786
https:__electronicintifada.net_content_mistrust-west-defines-global-south-attitudes-palestine_40771.html,https://electronicintifada.net/content/mistrust-west-defines-global-south-attitudes-palestine/40771
https:__electronicintifada.net_content_reject-israels-racist-doctrine_40731.html,https://electronicintifada.net/content/reject-israels-racist-doctrine/40731
https:__electronicintifada.net_content_what-if-hamas-had-been-allowed-govern-free-siege_40631.html,https://electronicintifada.net/content/what-if-hamas-had-been-allowed-govern-free-siege/40631
https:__electronicintifada.net_content_gaza-graveyard-human-rights_40191.html,https://electronicintifada.net/content/gaza-graveyard-human-rights/40191
https:__electronicintifada.net_content_al-watan-was-more-building_40076.html,https://electronicintifada.net/content/al-watan-was-more-building/40076
https:__electronicintifada.net_content_piece-may-be-my-last_40071.html,https://electronicintifada.net/content/piece-may-be-my-last/40071
https:__electronicintifada.net_content_netanyahu-abuses-bible-impress-us-evangelicals_40061.html,https://electronicintifada.net/content/netanyahu-abuses-bible-impress-us-evangelicals/40061
https:__electronicintifada.net_content_uk-stifles-school-debate-gaza_39581.html,https://electronicintifada.net/content/uk-stifles-school-debate-gaza/39581
https:__electronicintifada.net_content_i-should-never-have-left-gaza_39596.html,https://electronicintifada.net/content/i-should-never-have-left-gaza/39596
https:__electronicintifada.net_content_even-ghosts-weep-gaza_39461.html,https://electronicintifada.net/content/even-ghosts-weep-gaza/39461
https:__electronicintifada.net_content_who-will-run-post-holocaust-gaza_39446.html,https://electronicintifada.net/content/who-will-run-post-holocaust-gaza/39446
https:__electronicintifada.net_content_anti-semitic-roots-zionism_39256.html,https://electronicintifada.net/content/anti-semitic-roots-zionism/39256
https:__electronicintifada.net_content_gaza-genocide-enabled-arab-leaders_39241.html,https://electronicintifada.net/content/gaza-genocide-enabled-arab-leaders/39241
https:__electronicintifada.net_content_hamas-has-upended-status-quo_39176.html,https://electronicintifada.net/content/hamas-has-upended-status-quo/39176
https:__electronicintifada.net_content_gaza-wont-accept-more-ethnic-cleansing_39166.html,https://electronicintifada.net/content/gaza-wont-accept-more-ethnic-cleansing/39166
https:__electronicintifada.net_content_jake-tapper-targets-only-palestinian-us-congress_39026.html,https://electronicintifada.net/content/jake-tapper-targets-only-palestinian-us-congress/39026
https:__electronicintifada.net_content_bidens-gaza-aid-plan-fig-leaf-genocide_38976.html,https://electronicintifada.net/content/bidens-gaza-aid-plan-fig-leaf-genocide/38976
https:__electronicintifada.net_content_media-enable-ignorance-service-genocide_38966.html,https://electronicintifada.net/content/media-enable-ignorance-service-genocide/38966
https:__electronicintifada.net_content_worse-isis-debunking-israeli-propaganda_38941.html,https://electronicintifada.net/content/worse-isis-debunking-israeli-propaganda/38941
https:__electronicintifada.net_content_time-end-100-years-pain_38886.html,https://electronicintifada.net/content/time-end-100-years-pain/38886
https:__electronicintifada.net_content_palestine-will-not-die_38876.html,https://electronicintifada.net/content/palestine-will-not-die/38876
https:__electronicintifada.net_content_gaza-we-ask-you-stand-against-genocide_38846.html,https://electronicintifada.net/content/gaza-we-ask-you-stand-against-genocide/38846
https:__electronicintifada.net_content_israeli-soldier-pushes-war-crimes-cnn_38841.html,https://electronicintifada.net/content/israeli-soldier-pushes-war-crimes-cnn/38841
https:__electronicintifada.net_content_message-gaza-we-need-huge-protests-stop-genocide_38826.html,https://electronicintifada.net/content/message-gaza-we-need-huge-protests-stop-genocide/38826
https:__electronicintifada.net_content_uk-media-do-what-much-better-why_38771.html,https://electronicintifada.net/content/uk-media-do-what-much-better-why/38771
https:__electronicintifada.net_content_west-lets-israel-get-away-genocide_38756.html,https://electronicintifada.net/content/west-lets-israel-get-away-genocide/38756
https:__electronicintifada.net_content_israel-its-colonial-deathbed_38746.html,https://electronicintifada.net/content/israel-its-colonial-deathbed/38746
https:__electronicintifada.net_content_myth-israels-invincibility-has-been-shattered_38721.html,https://electronicintifada.net/content/myth-israels-invincibility-has-been-shattered/38721
https:__electronicintifada.net_content_just-another-battle-or-palestinian-war-liberation_38661.html,https://electronicintifada.net/content/just-another-battle-or-palestinian-war-liberation/38661
https:__electronicintifada.net_content_crimes-nazis-are-not-palestines-problem_38601.html,https://electronicintifada.net/content/crimes-nazis-are-not-palestines-problem/38601
https:__electronicintifada.net_content_only-anti-zionists-are-real-supporters-palestine_38591.html,https://electronicintifada.net/content/only-anti-zionists-are-real-supporters-palestine/38591
https:__electronicintifada.net_content_be-bold-bernie_38571.html,https://electronicintifada.net/content/be-bold-bernie/38571
https:__electronicintifada.net_content_israels-democracy-protests-defend-apartheid-system_38421.html,https://electronicintifada.net/content/israels-democracy-protests-defend-apartheid-system/38421
https:__electronicintifada.net_content_how-washington-shapes-icc-its-own-aims_38266.html,https://electronicintifada.net/content/how-washington-shapes-icc-its-own-aims/38266
https:__electronicintifada.net_content_israel-ignoring-crime-palestinian-communities_38226.html,https://electronicintifada.net/content/israel-ignoring-crime-palestinian-communities/38226
https:__electronicintifada.net_content_egyptians-say-do-not-reconcile_38151.html,https://electronicintifada.net/content/egyptians-say-do-not-reconcile/38151
https:__electronicintifada.net_content_future-certain-doom_38146.html,https://electronicintifada.net/content/future-certain-doom/38146
https:__electronicintifada.net_content_palestinians-are-israels-crosshairs-because-they-are-not-jews_38066.html,https://electronicintifada.net/content/palestinians-are-israels-crosshairs-because-they-are-not-jews/38066
https:__electronicintifada.net_content_unrwa-cuts-set-worsen-september_37991.html,https://electronicintifada.net/content/unrwa-cuts-set-worsen-september/37991
https:__electronicintifada.net_content_israels-upheaval-palestines-opportunity_37896.html,https://electronicintifada.net/content/israels-upheaval-palestines-opportunity/37896
https:__electronicintifada.net_content_israeli-protests-expose-divisions-military_37831.html,https://electronicintifada.net/content/israeli-protests-expose-divisions-military/37831
https:__electronicintifada.net_content_spotify-odds-stacked-against-lowkey_37841.html,https://electronicintifada.net/content/spotify-odds-stacked-against-lowkey/37841
https:__electronicintifada.net_content_75-years-israel-remains-addicted-aggression_37826.html,https://electronicintifada.net/content/75-years-israel-remains-addicted-aggression/37826
https:__electronicintifada.net_content_israel-views-childrens-lives-irrelevant_37781.html,https://electronicintifada.net/content/israel-views-childrens-lives-irrelevant/37781
https:__electronicintifada.net_content_collateral-damage-insult-gazas-dead_37746.html,https://electronicintifada.net/content/collateral-damage-insult-gazas-dead/37746
https:__electronicintifada.net_content_britain-declares-war-slogan_37576.html,https://electronicintifada.net/content/britain-declares-war-slogan/37576
https:__electronicintifada.net_content_why-saudis-have-called-their-israeli-wedding_37561.html,https://electronicintifada.net/content/why-saudis-have-called-their-israeli-wedding/37561
https:__electronicintifada.net_content_why-were-laying-siege-israeli-weapons-plant_37506.html,https://electronicintifada.net/content/why-were-laying-siege-israeli-weapons-plant/37506
https:__electronicintifada.net_content_uk-drowns-criticism-netanyahu-trade-deal_37396.html,https://electronicintifada.net/content/uk-drowns-criticism-netanyahu-trade-deal/37396
https:__electronicintifada.net_content_face-facts-israel-relies-settler-violence_37306.html,https://electronicintifada.net/content/face-facts-israel-relies-settler-violence/37306
https:__electronicintifada.net_content_us-hands-lit-torch-israeli-arsonists_37246.html,https://electronicintifada.net/content/us-hands-lit-torch-israeli-arsonists/37246
https:__electronicintifada.net_content_illusion-israeli-democracy-has-been-shattered_37211.html,https://electronicintifada.net/content/illusion-israeli-democracy-has-been-shattered/37211
https:__electronicintifada.net_content_after-abbas_36991.html,https://electronicintifada.net/content/after-abbas/36991
https:__electronicintifada.net_content_new-democrats-congress-are-enemies-palestine-cause_36996.html,https://electronicintifada.net/content/new-democrats-congress-are-enemies-palestine-cause/36996
https:__electronicintifada.net_content_taking-apartheid-new-extremes_36986.html,https://electronicintifada.net/content/taking-apartheid-new-extremes/36986
https:__electronicintifada.net_content_face-facts-corbyn-surrendered-israels-smears_36896.html,https://electronicintifada.net/content/face-facts-corbyn-surrendered-israels-smears/36896
https:__electronicintifada.net_content_california-cancels-palestinians_36856.html,https://electronicintifada.net/content/california-cancels-palestinians/36856
https:__electronicintifada.net_content_why-did-labours-left-leaders-buy-israels-lies_36876.html,https://electronicintifada.net/content/why-did-labours-left-leaders-buy-israels-lies/36876
https:__electronicintifada.net_content_israel-scores-own-goal-world-cup-charm-offensive_36791.html,https://electronicintifada.net/content/israel-scores-own-goal-world-cup-charm-offensive/36791
https:__electronicintifada.net_content_first-drones-then-bombs_36666.html,https://electronicintifada.net/content/first-drones-then-bombs/36666
https:__electronicintifada.net_content_oslo-long-dead-time-revive-plo_36656.html,https://electronicintifada.net/content/oslo-long-dead-time-revive-plo/36656
https:__electronicintifada.net_content_burden-western-liberals-impose-only-palestinians_36651.html,https://electronicintifada.net/content/burden-western-liberals-impose-only-palestinians/36651
https:__electronicintifada.net_content_why-doesnt-amnesty-recognize-palestinians-right-resist_36576.html,https://electronicintifada.net/content/why-doesnt-amnesty-recognize-palestinians-right-resist/36576
https:__electronicintifada.net_content_new-spirit-resistance_36581.html,https://electronicintifada.net/content/new-spirit-resistance/36581
https:__electronicintifada.net_content_nonviolence-only-one-part-strategy-liberation_36561.html,https://electronicintifada.net/content/nonviolence-only-one-part-strategy-liberation/36561
https:__electronicintifada.net_content_politics-slow-unbinding_36556.html,https://electronicintifada.net/content/politics-slow-unbinding/36556
https:__electronicintifada.net_content_why-cant-us-students-accuse-israel-genocide_36451.html,https://electronicintifada.net/content/why-cant-us-students-accuse-israel-genocide/36451
https:__electronicintifada.net_content_sabra-will-be-marvels-latest-attempt-woke-imperialism_36381.html,https://electronicintifada.net/content/sabra-will-be-marvels-latest-attempt-woke-imperialism/36381
https:__electronicintifada.net_content_crown-prosecutor-levels-blackmail-charges-against-palestine-action_36286.html,https://electronicintifada.net/content/crown-prosecutor-levels-blackmail-charges-against-palestine-action/36286
